,date,Appointments,Source.file.for.appointments,Patients,Item_all.antibiotics,Item_Cephalosporins,item_Tetracyclines,item_Macrolides,item_Quinolones,studymonth,time,intervention1,intervention2,time_after_inter1,time_after_inter2
1,01/01/2018,26014945,Jun-19,58914146,3455119,73569,486574,416330,58457,1,1,0,0,0,0
2,01/02/2018,22973301,Jul-19,58969634,2827697,63421,379457,335883,50358,2,2,0,0,0,0
3,01/03/2018,24202373,Aug-19,59005024,2937672,68720,391780,349055,55416,3,3,0,0,0,0
4,01/04/2018,22819121,Sep-19,59039595,2613950,64634,355677,303583,52780,4,4,0,0,0,0
5,01/05/2018,23927711,Oct-19/Oct-20,59085088,2606671,65928,341918,298906,52428,5,5,0,0,0,0
6,01/06/2018,22879653,Nov-19/Nov-20,59133600,2437569,63920,315419,273940,50712,6,6,0,0,0,0
7,01/07/2018,23480456,Dec-19/Dec-20,59178163,2436445,64194,299095,270879,50850,7,7,0,0,0,0
8,01/08/2018,22242395,Jan-20/Jan-21,59234413,2379007,67365,300343,257307,55059,8,8,0,0,0,0
9,01/09/2018,22636387,Feb-20/Feb-21,59297331,2374847,62730,310632,258527,52603,9,9,0,0,0,0
10,01/10/2018,27982868,Mar-20/Mar-21,59409696,2768368,68175,371693,306559,57717,10,10,0,0,0,0
11,01/11/2018,27083933,Apr-21,59503377,2723573,65209,363290,302122,54266,11,11,0,0,0,0
12,01/12/2018,21841521,May-21,59574450,2842893,65171,392992,321554,52317,12,12,0,0,0,0
13,01/01/2019,26825846,Jun-21,59607191,3149366,68400,459424,358276,56052,1,13,0,0,0,0
14,01/02/2019,24315108,Aug-21,59669673,2691451,60033,380319,307401,48159,2,14,0,0,0,0
15,01/03/2019,25560154,Aug-21,59714859,2685318,64514,378133,303299,49531,3,15,0,0,0,0
16,01/04/2019,23852148,Sep-21,59759638,2537741,61671,368009,286358,43334,4,16,0,0,0,0
17,01/05/2019,24643147,Oct-21,59805344,2493424,65567,361513,278707,45961,5,17,0,0,0,0
18,01/06/2019,23190629,Nov-21,59855056,2319379,61554,327476,255067,43088,6,18,0,0,0,0
19,01/07/2019,26301292,Dec-21,59901236,2479559,64217,328824,272002,44451,7,19,0,0,0,0
20,01/08/2019,22846393,Jan-22,59957750,2390169,66125,322635,258484,45937,8,20,0,0,0,0
21,01/09/2019,25788437,Feb-22,60006178,2392185,61627,328529,258227,44323,9,21,0,0,0,0
22,01/10/2019,30054362,Mar-22,60123503,2764886,64881,395688,302993,48064,10,22,0,0,0,0
23,01/11/2019,26809584,Mar-22,60224288,2765418,62883,395821,308104,44864,11,23,0,0,0,0
24,01/12/2019,23606506,Mar-22,60287576,3090036,65223,449363,347963,44969,12,24,0,0,0,0
25,01/01/2020,27199296,Mar-22,60323942,3075186,67687,484429,346489,47774,1,25,0,0,0,0
26,01/02/2020,24104620,Mar-22,60377858,2620280,61109,389191,296112,41199,2,26,0,0,0,0
27,01/03/2020,24053468,Mar-22,60429301,2790445,67657,444319,324455,44802,3,27,1,0,1,0
28,01/04/2020,16007881,Mar-22,60458907,2380160,69830,385528,269408,45267,4,28,1,0,2,0
29,01/05/2020,16417212,Mar-22,60408501,1980231,63990,302355,213730,41111,5,29,1,0,3,0
30,01/06/2020,20690805,Mar-22,60398455,1997987,65458,285756,210033,41970,6,30,1,0,4,0
31,01/07/2020,22491437,Mar-22,60413787,2053914,68006,289221,213069,43032,7,31,1,0,5,0
32,01/08/2020,20150520,Mar-22,60423015,1909877,62014,260326,198217,38236,8,32,1,0,6,0
33,01/09/2020,26714254,Mar-22,60417236,2239793,68329,317909,232242,42604,9,33,1,0,7,0
34,01/10/2020,28301930,Mar-22,60470172,2234167,70510,334347,231017,45263,10,34,1,0,8,0
35,01/11/2020,25061602,Mar-22,60528446,2130732,68925,320201,218985,44130,11,35,1,0,9,0
36,01/12/2020,23535936,Mar-22,60570367,2239568,73208,342278,232090,46283,12,36,1,0,10,0
37,01/01/2021,22492069,Jul-22,60606345,2138198,68891,361659,220216,43198,1,37,1,0,11,0
38,01/02/2021,22399569,Jul-22,60618754,1906307,64283,300204,196091,39857,2,38,1,0,12,0
39,01/03/2021,27225424,Jul-22,60650740,2149071,72008,328011,220937,43247,3,39,1,0,13,0
40,01/04/2021,23879932,Jul-22,60744002,2008221,66620,309548,208460,38362,4,40,1,0,14,0
41,01/05/2021,23508395,Jul-22,60798847,2048067,64622,297738,211849,36960,5,41,1,0,15,0
42,01/06/2021,26784182,Jul-22,60860759,2277908,68034,320190,234304,38103,6,42,1,0,16,0
43,01/07/2021,25739219,Jul-22,60970002,2366079,70663,328687,239900,39507,7,43,1,1,17,1
44,01/08/2021,23852171,Jul-22,61032314,2211282,68807,313837,220864,39298,8,44,1,1,18,2
45,01/09/2021,28522501,Jul-22,61086074,2528557,72195,367078,252702,41269,9,45,1,1,19,3
46,01/10/2021,30303834,Jul-22,61194033,2759732,71189,406616,279230,41305,10,46,1,1,20,4
47,01/11/2021,30405070,Jul-22,61300225,2847431,73334,438087,291002,42494,11,47,1,1,21,5
48,01/12/2021,25140776,Jul-22,61395839,2909599,76722,461600,299189,43163,12,48,1,1,22,6
49,01/01/2022,25635474,Jul-22,61469262,2513631,72839,404254,254081,39962,1,49,1,1,23,7
50,01/02/2022,25355260,Jul-22,61526961,2303888,67281,348776,234606,37047,2,50,1,1,24,8
51,01/03/2022,29595015,Jul-22,61573603,2730319,75084,424038,277391,40793,3,51,1,1,25,9
52,01/04/2022,23912826,Jul-22,61625745,2462449,68788,397130,251545,37164,4,52,1,1,26,10
53,01/05/2022,27495426,Jul-22,61654788,2526967,71703,374477,255516,38638,5,53,1,1,27,11
54,01/06/2022,25827773,Jul-22,61715466,2479982,69485,363347,251682,36709,6,54,1,1,28,12
55,01/07/2022,25914691,Jul-22,61768942,2532228,70482,355336,257320,36773,7,55,1,1,29,13
