"","exp(Est.)","2.5%","97.5%","var"
"(Intercept)",0.122223770921154,0.115141473651062,0.129741696927195,"(Intercept)"
"time",0.996010972589859,0.993568569827139,0.998459379297789,"time"
"intervention1",1.07123046433646,1.00624978825811,1.14040740292623,"intervention1"
"time_after_inter1",0.983615382958915,0.97794754122222,0.989316073522974,"time_after_inter1"
"intervention2",1.18400447325592,1.09810031688463,1.2766288936763,"intervention2"
"time_after_inter2",1.02411399879256,1.01558566669146,1.0327139471549,"time_after_inter2"
"as.factor(studymonth)2",0.951898827985764,0.898956840408628,1.0079587116872,"as.factor(studymonth)2"
"as.factor(studymonth)3",0.936388414417607,0.883176547800281,0.992806324895532,"as.factor(studymonth)3"
"as.factor(studymonth)4",0.96221973119298,0.904977590717312,1.02308258303194,"as.factor(studymonth)4"
"as.factor(studymonth)5",0.947897737692284,0.89426135426711,1.00475114666956,"as.factor(studymonth)5"
"as.factor(studymonth)6",0.916632208820768,0.864928357351732,0.971426822933911,"as.factor(studymonth)6"
"as.factor(studymonth)7",0.880766829698304,0.831274983191901,0.933205285834661,"as.factor(studymonth)7"
"as.factor(studymonth)8",0.922601913559041,0.867202556013983,0.981540339105133,"as.factor(studymonth)8"
"as.factor(studymonth)9",0.852140018415398,0.801890485773997,0.905538379451044,"as.factor(studymonth)9"
"as.factor(studymonth)10",0.836293784130104,0.787283644202108,0.88835491315644,"as.factor(studymonth)10"
"as.factor(studymonth)11",0.891848909870907,0.839816101074151,0.947105535391129,"as.factor(studymonth)11"
"as.factor(studymonth)12",1.10302706890498,1.0388481083982,1.17117093914056,"as.factor(studymonth)12"
"negbinom_lagres",1.02256664143397,1.0093662229239,1.03593969406325,"negbinom_lagres"
