"","exp(Est.)","2.5%","97.5%","var"
"(Intercept)",0.059197041462699,0.054556477632322,0.064232330788533,"(Intercept)"
"time",0.99578761519539,0.992449669905463,0.99913678712894,"time"
"intervention1",0.920322670395667,0.844805273205334,1.00259059040976,"intervention1"
"time_after_inter1",0.986964790011323,0.97915493046185,0.994836941956294,"time_after_inter1"
"intervention2",1.23369240071207,1.11044872033476,1.37061433968414,"intervention2"
"time_after_inter2",1.02742916460595,1.01572347847432,1.03926975269733,"time_after_inter2"
"as.factor(studymonth)2",0.959992988508969,0.887720568419861,1.03814935777235,"as.factor(studymonth)2"
"as.factor(studymonth)3",0.971762006411501,0.897033739104877,1.05271558464146,"as.factor(studymonth)3"
"as.factor(studymonth)4",0.980020538967735,0.901010951521909,1.06595847162159,"as.factor(studymonth)4"
"as.factor(studymonth)5",0.930142082956029,0.858559400901032,1.00769299547337,"as.factor(studymonth)5"
"as.factor(studymonth)6",0.917952330330356,0.847840298591857,0.993862266465077,"as.factor(studymonth)6"
"as.factor(studymonth)7",0.87859195636215,0.811756286995058,0.950930517140508,"as.factor(studymonth)7"
"as.factor(studymonth)8",0.898044977056785,0.825101663423702,0.977436862107961,"as.factor(studymonth)8"
"as.factor(studymonth)9",0.848511248138401,0.780818993163097,0.922072009673821,"as.factor(studymonth)9"
"as.factor(studymonth)10",0.848865054453242,0.781568034068734,0.921956693802725,"as.factor(studymonth)10"
"as.factor(studymonth)11",0.906755048359923,0.835183771288794,0.984459643483543,"as.factor(studymonth)11"
"as.factor(studymonth)12",1.14230186893788,1.05238263452051,1.23990411564849,"as.factor(studymonth)12"
"negbinom_lagres",1.05245903516461,1.03339301927166,1.07187681747678,"negbinom_lagres"
