"","exp(Est.)","2.5%","97.5%","var"
"(Intercept)",0.0588994293650821,0.0538977630534299,0.0643652460324423,"(Intercept)"
"time",0.995999716233086,0.992373004772411,0.999639681818929,"time"
"intervention1",0.985137939849292,0.903081045036943,1.07465079226727,"intervention1"
"time_after_inter1",0.981087539007716,0.973244762032108,0.9889935160673,"time_after_inter1"
"intervention2",1.26059597996767,1.12572812548807,1.41162167732256,"intervention2"
"time_after_inter2",1.03328091398922,1.02070608464194,1.04601066191246,"time_after_inter2"
"as.factor(studymonth)2",0.961822858239748,0.88332848503226,1.04729240176002,"as.factor(studymonth)2"
"as.factor(studymonth)3",0.961116710925502,0.881078677389017,1.04842547632372,"as.factor(studymonth)3"
"as.factor(studymonth)4",1.02169890351421,0.936947584575589,1.11411637814828,"as.factor(studymonth)4"
"as.factor(studymonth)5",0.947813275794556,0.869348281625604,1.03336030536872,"as.factor(studymonth)5"
"as.factor(studymonth)6",0.915598320369578,0.839772929078443,0.998270193328994,"as.factor(studymonth)6"
"as.factor(studymonth)7",0.874553228195976,0.802473154374754,0.953107708062745,"as.factor(studymonth)7"
"as.factor(studymonth)8",0.894990303778479,0.816264152008463,0.981309349291613,"as.factor(studymonth)8"
"as.factor(studymonth)9",0.84383494477732,0.770921268926718,0.923644790626511,"as.factor(studymonth)9"
"as.factor(studymonth)10",0.845485169576225,0.772859900910109,0.924934999385459,"as.factor(studymonth)10"
"as.factor(studymonth)11",0.904327540764015,0.826969300463323,0.988922201254751,"as.factor(studymonth)11"
"as.factor(studymonth)12",1.1407387253223,1.043408022522,1.24714858555968,"as.factor(studymonth)12"
"negbinom_lagres",1.05871512861595,1.0383251943162,1.07950546678053,"negbinom_lagres"
